========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-07-01 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-07-01 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
2019-07-04 02:00  to 2019-07-04 02:15,0.000,,
2019-07-04 02:15  to 2019-07-04 02:30,0.000,,
2019-07-04 02:30  to 2019-07-04 02:45,0.000,,
2019-07-04 02:45  to 2019-07-04 03:00,0.000,,
2019-07-04 03:00  to 2019-07-04 03:15,0.000,,
2019-07-04 03:15  to 2019-07-04 03:30,0.000,,
2019-07-04 03:30  to 2019-07-04 03:45,0.000,,
2019-07-04 03:45  to 2019-07-04 04:00,0.000,,
2019-07-04 04:00  to 2019-07-04 04:15,0.000,,
2019-07-04 04:15  to 2019-07-04 04:30,0.000,,
2019-07-04 04:30  to 2019-07-04 04:45,0.000,,
2019-07-04 04:45  to 2019-07-04 05:00,0.000,,
2019-07-04 05:00  to 2019-07-04 05:15,0.000,,
2019-07-04 05:15  to 2019-07-04 05:30,0.000,,
2019-07-04 05:30  to 2019-07-04 05:45,0.000,,
2019-07-04 05:45  to 2019-07-04 06:00,0.000,,
2019-07-04 06:00  to 2019-07-04 06:15,0.000,,
2019-07-04 06:15  to 2019-07-04 06:30,0.000,,
2019-07-04 06:30  to 2019-07-04 06:45,0.000,,
2019-07-04 06:45  to 2019-07-04 07:00,0.000,,
2019-07-04 07:00  to 2019-07-04 07:15,0.000,,
2019-07-04 07:15  to 2019-07-04 07:30,0.000,,
2019-07-04 07:30  to 2019-07-04 07:45,0.000,,
2019-07-04 07:45  to 2019-07-04 08:00,0.000,,
2019-07-04 08:00  to 2019-07-04 08:15,0.000,,
2019-07-04 08:15  to 2019-07-04 08:30,0.000,,
2019-07-04 08:30  to 2019-07-04 08:45,0.002,,
2019-07-04 08:45  to 2019-07-04 09:00,0.048,,
2019-07-04 09:00  to 2019-07-04 09:15,0.010,,
2019-07-04 09:15  to 2019-07-04 09:30,0.179,,
2019-07-04 09:30  to 2019-07-04 09:45,0.001,,
2019-07-04 09:45  to 2019-07-04 10:00,0.199,,
2019-07-04 10:00  to 2019-07-04 10:15,0.245,,
2019-07-04 10:15  to 2019-07-04 10:30,0.104,,
2019-07-04 10:30  to 2019-07-04 10:45,0.091,,
