Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
A,MediumLow,Medium,MediumLow,High,MediumLow,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,High,MediumHigh,W,,,,,,,,
A,MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,L,,,,,,,,
A,High,MediumHigh,Medium,High,High,L,,,,,,,,
A,High,High,High,Medium,High,W,,,,,,,,
H,Medium,High,High,MediumLow,High,W,,,,,,,,
A,Medium,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,Medium,W,,,,,,,,
A,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,L,,,,,,,,
H,Medium,MediumLow,MediumHigh,MediumLow,MediumHigh,L,,,,,,,,
A,Medium,MediumLow,MediumLow,Medium,MediumLow,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
A,Medium,Medium,Medium,MediumHigh,MediumHigh,L,,,,,,,,
A,MediumHigh,Medium,MediumLow,High,High,L,,,,,,,,
H,Medium,Medium,MediumHigh,Medium,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,Medium,L,,,,,,,,
H,MediumLow,Medium,MediumLow,High,MediumLow,W,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,Medium,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,High,L,,,,,,,,
H,Medium,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,MediumLow,Medium,MediumLow,High,MediumLow,W,,,,,,,,
A,MediumHigh,Medium,MediumHigh,Medium,Medium,W,,,,,,,,
A,MediumHigh,Medium,Medium,Medium,High,L,,,,,,,,
H,High,High,High,Medium,High,L,,,,,,,,
H,High,High,High,MediumLow,High,L,,,,,,,,
H,Medium,MediumHigh,MediumHigh,Medium,High,L,,,,,,,,
H,MediumHigh,MediumLow,MediumLow,Medium,High,L,,,,,,,,
A,High,High,MediumHigh,High,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,Medium,Medium,Medium,Medium,Medium,W,,,,,,,,
A,MediumLow,Medium,Medium,Medium,High,L,,,,,,,,
A,Medium,MediumHigh,High,Medium,MediumLow,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,Medium,High,L,,,,,,,,
H,MediumHigh,Medium,Medium,Medium,MediumLow,W,,,,,,,,
H,Medium,Medium,Medium,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,MediumLow,High,MediumLow,W,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,Medium,W,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,W,,,,,,,,
H,High,High,MediumHigh,High,MediumLow,W,,,,,,,,
A,Medium,High,MediumHigh,High,MediumHigh,W,,,,,,,,
H,High,High,High,MediumHigh,MediumHigh,W,,,,,,,,
A,Medium,High,MediumHigh,High,High,L,,,,,,,,
H,Medium,Medium,MediumLow,MediumHigh,MediumLow,W,,,,,,,,
A,High,High,High,Medium,Medium,W,,,,,,,,
H,High,High,High,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,High,Medium,High,W,,,,,,,,
H,High,High,High,MediumHigh,High,W,,,,,,,,
H,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
