========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-16 06:45  to 2018-05-16 07:00,0.000,,
2018-05-16 07:00  to 2018-05-16 07:15,0.016,,
2018-05-16 07:15  to 2018-05-16 07:30,0.002,,
2018-05-16 07:30  to 2018-05-16 07:45,0.000,,
2018-05-16 07:45  to 2018-05-16 08:00,0.000,,
2018-05-16 08:00  to 2018-05-16 08:15,0.000,,
2018-05-16 08:15  to 2018-05-16 08:30,0.000,,
2018-05-16 08:30  to 2018-05-16 08:45,0.000,,
2018-05-16 08:45  to 2018-05-16 09:00,0.000,,
2018-05-16 09:00  to 2018-05-16 09:15,0.000,,
2018-05-16 09:15  to 2018-05-16 09:30,0.003,,
2018-05-16 09:30  to 2018-05-16 09:45,0.000,,
2018-05-16 09:45  to 2018-05-16 10:00,0.000,,
2018-05-16 10:00  to 2018-05-16 10:15,0.000,,
2018-05-16 10:15  to 2018-05-16 10:30,0.014,,
2018-05-16 10:30  to 2018-05-16 10:45,0.001,,
2018-05-16 10:45  to 2018-05-16 11:00,0.000,,
2018-05-16 11:00  to 2018-05-16 11:15,0.000,,
2018-05-16 11:15  to 2018-05-16 11:30,0.000,,
2018-05-16 11:30  to 2018-05-16 11:45,0.000,,
2018-05-16 11:45  to 2018-05-16 12:00,0.000,,
2018-05-16 12:00  to 2018-05-16 12:15,0.000,,
2018-05-16 12:15  to 2018-05-16 12:30,0.004,,
2018-05-16 12:30  to 2018-05-16 12:45,0.019,,
2018-05-16 12:45  to 2018-05-16 13:00,0.000,,
2018-05-16 13:00  to 2018-05-16 13:15,0.000,,
2018-05-16 13:15  to 2018-05-16 13:30,0.030,,
2018-05-16 13:30  to 2018-05-16 13:45,0.004,,
2018-05-16 13:45  to 2018-05-16 14:00,0.000,,
2018-05-16 14:00  to 2018-05-16 14:15,0.000,,
2018-05-16 14:15  to 2018-05-16 14:30,0.023,,
2018-05-16 14:30  to 2018-05-16 14:45,0.009,,
2018-05-16 14:45  to 2018-05-16 15:00,0.000,,
2018-05-16 15:00  to 2018-05-16 15:15,0.086,,
