DateTimeStamp,Random_ID,AcadTerm,flg_NetDep,City,State,Gender,ACTcomp,SATcomp,Best_Test_ACT_Equivalent,HSGPA,Ath1,Ath2,Ath3,Religion
8/9/2019,4669,19/FA,0,Plainfield,IL,M,,1040,20,2.98,TRACK,CROSS COUNTRY,,Christian
8/9/2019,4672,19/FA,0,Glenview,IL,F,,,,,CHEERLEADER,,,Roman Catholic
8/9/2019,4676,19/FA,0,Mauston,WI,M,25,,25,3.99,TRACK,CROSS COUNTRY,WRESTLING,Christian
8/9/2019,4679,19/FA,1,Phoenix,AZ,M,,870,16,2.841,BASKETBALL,,,Roman Catholic
8/9/2019,4689,19/FA,0,Oshkosh,WI,M,,,,3.99,SWIMMING,CROSS COUNTRY,,Lutheran
8/9/2019,4690,19/FA,0,Lindenhurst,IL,F,27,,27,4,SOCCER,CROSS COUNTRY,,Other
8/9/2019,4695,19/FA,0,Springbrook,IA,M,,,,3.43,FOOTBALL,TRACK,,
8/9/2019,4697,19/FA,0,Solon,IA,M,,,,,GOLF,,,
8/9/2019,4700,19/FA,0,Mundelein,IL,F,18,,18,2.88,SOCCER,,,Christian
8/9/2019,4701,19/FA,0,North Buena Vista,IA,F,19,,19,3.94,TRACK,CROSS COUNTRY,,Roman Catholic
8/9/2019,4704,19/FA,1,Rockton,IL,M,,1130,23,2.97,SOCCER,,,Roman Catholic
8/9/2019,4706,19/FA,0,Cole Camp,MO,F,,,,,,,,Christian
8/9/2019,4713,19/FA,0,Chicago,IL,F,21,,21,3.71,,,,Roman Catholic
8/9/2019,4723,19/FA,0,Dubuque,IA,F,23,,23,4.18,CROSS COUNTRY,,,Roman Catholic
8/9/2019,4726,19/FA,0,Chicago,IL,M,,,,,BASKETBALL,,,Baptist
8/9/2019,4727,19/FA,0,North Aurora,IL,M,,,,,BASEBALL,,,Agnostic
8/9/2019,4735,19/FA,0,Des Plaines,IL,M,,1070,21,1.65,SOCCER,,,Roman Catholic
8/9/2019,4736,19/FA,0,Peosta,IA,M,33,,33,3.91,TENNIS,,,Methodist
8/9/2019,4737,19/FA,0,Riverview,FL,M,,970,18,3.63,BASEBALL,CROSS COUNTRY,,Roman Catholic
8/9/2019,4741,19/FA,0,Chicago,IL,F,22,,22,2.88,TENNIS,VOLLEYBALL,,Agnostic
8/9/2019,4743,19/FA,0,Rock Island,IL,F,19,,19,3.49,BASKETBALL,,,Roman Catholic
8/9/2019,4748,19/FA,0,Rockford,IL,M,,,,,BASEBALL,,,Roman Catholic
8/9/2019,4749,19/FA,0,Chicago,IL,M,,950,18,1.83,BASKETBALL,VOLLEYBALL,,Christian
8/9/2019,4754,19/FA,0,Dubuque,IA,F,22,,22,3.49,GOLF,,,Roman Catholic
8/9/2019,4757,19/FA,0,Freeport,IL,M,,1060,21,3.73,FOOTBALL,,,Roman Catholic
8/9/2019,4763,19/FA,1,Dubuque,IA,F,14,,14,2.288,,,,Christian
8/9/2019,4765,19/FA,0,Chicago,IL,M,18,,18,2.82,FOOTBALL,BASEBALL,,Roman Catholic
8/9/2019,4767,19/FA,0,Memphis,TN,F,19,,19,3.23,,,,Baptist
8/9/2019,4772,19/FA,0,Fort Myers,FL,M,,890,16,2.79,FOOTBALL,,,
8/9/2019,4776,19/FA,0,Wheaton,IL,F,22,,22,3.73,SOFTBALL,,,Roman Catholic
8/9/2019,4780,19/FA,0,La Grange Park,IL,F,,800,14,2.61,,,,
8/9/2019,4784,19/FA,0,Cicero,IL,M,,740,13,2.44,VOLLEYBALL,,,Roman Catholic
8/9/2019,4789,19/FA,0,Janesville,WI,M,23,,23,3.98,BASKETBALL,,,Other
8/9/2019,4791,19/FA,0,Riverview,FL,M,,1190,24,4,FOOTBALL,TRACK,,Baptist
8/9/2019,4792,19/FA,1,Chicago,IL,M,,1020,20,3.696,BASEBALL,,,
8/9/2019,4796,19/FA,0,Bozeman,MT,M,,,,,,,,
8/9/2019,4803,19/FA,1,Asbury,IA,F,20,,20,3.48,CHEERLEADER,,,Roman Catholic
8/9/2019,4805,19/FA,1,Green Bay,WI,F,22,,22,3.408,CROSS COUNTRY,SOCCER,,Roman Catholic
8/9/2019,4807,19/FA,1,Lemont,IL,M,23,,23,3.216,FOOTBALL,,,Roman Catholic
8/9/2019,4809,19/FA,0,Saint Charles,IL,F,,1180,24,4,,,,Roman Catholic
8/9/2019,4810,19/FA,0,Colona,IL,F,25,1070,25,4,VOLLEYBALL,BASKETBALL,SOCCER,Baptist
8/9/2019,4814,19/FA,0,Chicago,IL,M,17,,17,3.52,,,,Christian
8/9/2019,4815,19/FA,0,Naperville,IL,F,,1110,22,3.78,SOCCER,,,Roman Catholic
8/9/2019,4816,19/FA,0,Onalaska,WI,M,21,,21,2.64,TENNIS,TRACK,,Christian
8/9/2019,4817,19/FA,0,Golden Valley,MN,F,,,,,,,,
8/9/2019,4818,19/FA,0,Channahon,IL,F,18,920,18,3.55,LACROSSE,,,Roman Catholic
8/9/2019,4822,19/FA,0,Tinley Park,IL,M,,930,17,2.59,FOOTBALL,SWIMMING,,
8/9/2019,4827,19/FA,1,Neenah,WI,F,23,,23,3.429,SOFTBALL,,,Roman Catholic
8/9/2019,4829,19/FA,0,Chicago,IL,F,19,,19,3.73,BASKETBALL,SOCCER,VOLLEYBALL,Other
8/9/2019,4832,19/FA,0,Des Moines,IA,F,21,,21,3.67,BASKETBALL,BASEBALL,,
8/9/2019,4834,19/FA,0,Chicago,IL,M,,780,14,1.73,,,,Baptist
8/9/2019,4835,19/FA,0,Kissimmee,FL,M,,980,19,2.86,FOOTBALL,,,
8/9/2019,4839,19/FA,0,Algona,IA,F,19,,19,3.7,CHEERLEADER,GOLF,,Roman Catholic
8/9/2019,4841,19/FA,0,Eldridge,IA,F,14,,14,2.74,CROSS COUNTRY,,,Lutheran
8/9/2019,4844,19/FA,1,Fertile,IA,M,19,,19,2.75,WRESTLING,,,Other
8/9/2019,4850,19/FA,0,Chicago,IL,F,,1010,19,4,BASKETBALL,,,Christian
8/9/2019,4855,19/FA,0,Nashville,NC,M,,,,,BASKETBALL,FOOTBALL,,Christian
8/9/2019,4857,19/FA,1,Crest Hill,IL,M,,1320,28,3.6,BASKETBALL,,,Presbyterian
8/9/2019,4859,19/FA,1,Prophetstown,IL,M,,950,18,3.08,FOOTBALL,TRACK,WRESTLING,Christian
8/9/2019,4863,19/FA,0,Spanish Fort,AL,M,27,,27,4,SOCCER,,,Roman Catholic
8/9/2019,4866,19/FA,1,Bellevue,IA,F,26,,26,3.973,CHEERLEADER,CROSS COUNTRY,GOLF,Roman Catholic
8/9/2019,4867,19/FA,0,Carpentersville,IL,M,,850,15,2.7,FOOTBALL,BASKETBALL,TRACK,
8/9/2019,4874,19/FA,0,Rapids City,IL,F,24,1070,24,3.96,,,,Roman Catholic
8/9/2019,4876,19/FA,0,Lake Saint Louis,MO,M,19,,19,2.8,VOLLEYBALL,,,Roman Catholic
8/9/2019,4883,19/FA,0,Mobile,AL,M,,,,,,,,
8/9/2019,4893,19/FA,1,Port Barrington,IL,F,26,,26,3.39,BASKETBALL,,,
8/9/2019,4894,19/FA,0,Lena,IL,M,,1280,27,3.77,BASEBALL,BASKETBALL,FOOTBALL,Roman Catholic
8/9/2019,4898,19/FA,0,Eldon,IA,M,21,,21,3.65,FOOTBALL,,,
8/9/2019,4900,19/FA,0,Johnsburg,IL,M,,910,17,2.42,FOOTBALL,TRACK,,
8/9/2019,4901,19/FA,0,Elmhurst,IL,F,18,970,18,2.74,BASKETBALL,,,Roman Catholic
8/9/2019,4902,19/FA,1,Roscoe,IL,F,,1000,19,3.768,SWIMMING,,,Christian
8/9/2019,4903,19/FA,0,Lombard,IL,M,24,1160,24,2.85,VOLLEYBALL,,,Lutheran
8/9/2019,4905,19/FA,0,Haines City,FL,M,17,,17,3.25,FOOTBALL,,,Christian
8/9/2019,4918,19/FA,1,Coralville,IA,F,30,,30,4,CROSS COUNTRY,,,Roman Catholic
8/9/2019,4920,19/FA,0,Naperville,IL,F,,,,3.05,LACROSSE,,,Roman Catholic
8/9/2019,4922,19/FA,0,Huntley,IL,F,19,,19,3.309,,,,Roman Catholic
8/9/2019,4927,19/FA,1,Waverly,IA,M,22,,22,3.652,FOOTBALL,,,Lutheran
8/9/2019,4934,19/FA,0,Oak Park,IL,M,,1320,28,3.49,CROSS COUNTRY,TRACK,,
8/9/2019,4946,19/FA,0,Lockport,IL,F,,,,,CROSS COUNTRY,TRACK,,Roman Catholic
8/9/2019,4947,19/FA,1,Bogota,,M,,,,,,,,Roman Catholic
8/9/2019,4956,19/FA,0,Johnston,IA,M,23,,23,3.24,FOOTBALL,,,Roman Catholic
8/9/2019,4967,19/FA,0,Ocala,FL,M,20,,20,2.56,FOOTBALL,,,Other
8/9/2019,4969,19/FA,1,Dubuque,IA,M,27,,27,3.949,,,,
8/9/2019,4970,19/FA,1,Lindenhurst,IL,M,,1120,22,3.185,SOCCER,BASKETBALL,,
8/9/2019,4975,19/FA,0,Memphis,TN,F,,,,,VOLLEYBALL,,,Muslim
8/9/2019,4976,19/FA,0,Hazel Crest,IL,F,,750,13,1.55,,,,Christian
8/9/2019,4979,19/FA,1,Dubuque,IA,M,20,,20,2.985,BASKETBALL,,,Lutheran
8/9/2019,4981,19/FA,1,Loves Park,IL,M,,1080,21,3.404,TRACK,FOOTBALL,WRESTLING,Christian
8/9/2019,4983,19/FA,0,Princeton,IA,F,,,,,VOLLEYBALL,SOFTBALL,,Lutheran
8/9/2019,5004,19/FA,0,Rochester,MN,F,17,,17,,BASKETBALL,LACROSSE,,Lutheran
8/9/2019,5005,19/FA,1,Dubuque,IA,F,22,,22,4,TRACK,CROSS COUNTRY,,Roman Catholic
8/9/2019,5006,19/FA,1,Steger,IL,F,21,,21,2.858,SOFTBALL,BASKETBALL,SOCCER,Roman Catholic
8/9/2019,5009,19/FA,0,New Lenox,IL,F,,,,,CROSS COUNTRY,TRACK,,Christian
8/9/2019,5010,19/FA,1,Dyersville,IA,F,26,,26,4,GOLF,,,Roman Catholic
8/9/2019,5011,19/FA,0,Hazel Green,WI,F,18,1080,21,3.87,BASKETBALL,TRACK,VOLLEYBALL,Lutheran
8/9/2019,5012,19/FA,0,Mount Vernon,IA,M,,,,,CROSS COUNTRY,,,Christian
8/9/2019,5017,19/FA,0,Galena,IL,F,,1120,22,3.76,TRACK,VOLLEYBALL,,Roman Catholic
8/9/2019,5019,19/FA,0,Markham,IL,M,,1160,24,3.01,TENNIS,FOOTBALL,,Christian
8/9/2019,5023,19/FA,0,Rockford,IL,M,19,,19,2.08,BASEBALL,,,
8/9/2019,5025,19/FA,1,Clinton,IA,F,27,,27,4,CROSS COUNTRY,,,Christian
8/9/2019,5040,19/FA,0,Port Byron,IL,M,21,1120,22,3.47,FOOTBALL,WRESTLING,,Christian
8/9/2019,5052,19/FA,0,Lindenhurst,IL,M,,1270,26,4,SOCCER,TRACK,,Roman Catholic
8/9/2019,5055,19/FA,1,Chicago,IL,M,,1060,21,3.411,SWIMMING,,,Roman Catholic
8/9/2019,5056,19/FA,1,Chicago,IL,M,20,,20,3.159,,,,Roman Catholic
8/9/2019,5059,19/FA,0,Mundelein,IL,F,,1070,21,3.64,SWIMMING,,,Other
8/9/2019,5062,19/FA,1,Plainfield,IL,F,18,990,19,3.564,SOCCER,,,Christian
8/9/2019,5063,19/FA,0,Waukegan,IL,F,19,,19,3.11,,,,Christian
8/9/2019,5064,19/FA,0,San Jose,CA,M,35,1510,35,3.05,,,,
8/9/2019,5069,19/FA,0,Cary,IL,F,,,,3.03,TENNIS,,,Roman Catholic
8/9/2019,5074,19/FA,1,Madison,WI,F,17,,17,3.78,SWIMMING,LACROSSE,,Other
8/9/2019,5077,19/FA,1,Clinton,IA,F,18,,18,3.907,TRACK,VOLLEYBALL,BASKETBALL,Christian
8/9/2019,5079,19/FA,0,Peru,IL,M,30,1400,30,4,FOOTBALL,BASEBALL,TRACK,
8/9/2019,5080,19/FA,0,Winnetka,IL,F,21,,21,3.54,,,,Roman Catholic
8/9/2019,5086,19/FA,0,Eldon,IA,M,20,,20,3.86,BASKETBALL,BASEBALL,FOOTBALL,Other
8/9/2019,5099,19/FA,1,Twin Lakes,WI,M,24,,24,3.87,VOLLEYBALL,,,Agnostic
8/9/2019,5101,19/FA,0,Wausau,WI,M,,,,,SOCCER,,,Methodist
8/9/2019,5108,19/FA,1,Platteville,WI,F,22,,22,3.52,VOLLEYBALL,,,
8/9/2019,5123,19/FA,0,Urbandale,IA,M,,,,,TRACK,FOOTBALL,,Christian
8/9/2019,5128,19/FA,0,Berwyn,IL,M,,770,14,3.09,FOOTBALL,,,Roman Catholic
8/9/2019,5135,19/FA,1,Marshalltown,IA,M,27,,27,3.214,WRESTLING,,,Roman Catholic
8/9/2019,5138,19/FA,1,Grand Ledge,MI,M,24,,24,3.737,BASEBALL,FOOTBALL,,Roman Catholic
8/9/2019,5144,19/FA,1,Dubuque,IA,F,20,,20,3.544,CHEERLEADER,,,Roman Catholic
8/9/2019,5147,19/FA,0,River Falls,WI,M,22,,22,3.47,BASKETBALL,BASEBALL,,Roman Catholic
8/9/2019,5152,19/FA,1,Iowa City,IA,F,25,,25,3.91,TRACK,CROSS COUNTRY,GOLF,Christian
8/9/2019,5153,19/FA,0,Memphis,TN,F,17,,17,3.31,,,,Baptist
8/9/2019,5154,19/FA,0,Fountain City,WI,M,,,,,BASKETBALL,,,Lutheran
8/9/2019,5159,19/FA,0,Arlington Heights,IL,F,20,,20,3.15,,,,Roman Catholic
8/9/2019,5164,19/FA,0,Scottsdale,AZ,M,19,,19,2.97,,,,Jewish
8/9/2019,5165,19/FA,0,Joliet,IL,M,27,,27,4,BASKETBALL,BASEBALL,,Roman Catholic
8/9/2019,5169,19/FA,0,Mason City,IA,M,,,,,WRESTLING,,,Roman Catholic
8/9/2019,5174,19/FA,0,Joliet,IL,M,27,,27,2.63,FOOTBALL,,,Roman Catholic
8/9/2019,5177,19/FA,0,Charles City,IA,M,23,,23,3.85,SWIMMING,,,Roman Catholic
8/9/2019,5182,19/FA,0,Peosta,IA,F,25,,25,3.831,TRACK,,,
8/9/2019,5183,19/FA,0,New Lenox,IL,F,23,,23,3.23,LACROSSE,,,Christian
8/9/2019,5190,19/FA,1,Dubuque,IA,F,23,,23,3.954,,,,Roman Catholic
8/9/2019,5191,19/FA,0,Fort Myers,FL,M,18,,18,3.56,FOOTBALL,,,
8/9/2019,5195,19/FA,0,Villa Park,IL,F,,1010,19,3.54,SWIMMING,,,Lutheran
8/9/2019,5202,19/FA,0,Algonquin,IL,F,,1010,19,3.5,,,,Roman Catholic
8/9/2019,5207,19/FA,0,Vermillion,SD,M,24,,24,4,CROSS COUNTRY,,,Christian
8/9/2019,5220,19/FA,1,Oak Lawn,IL,F,22,,22,3.968,CHEERLEADER,SOFTBALL,,Roman Catholic
8/9/2019,5221,19/FA,0,Davenport,IA,M,17,,17,2.6,SWIMMING,,,Roman Catholic
8/9/2019,5224,19/FA,1,Plano,IL,M,,930,17,2.406,VOLLEYBALL,,,Lutheran
8/9/2019,5228,19/FA,0,East Peoria,IL,F,31,1340,31,4,TENNIS,,,Roman Catholic
8/9/2019,5233,19/FA,0,Mount Vernon,IA,M,26,,26,3.04,FOOTBALL,,,Christian
8/9/2019,5235,19/FA,0,Glen Ellyn,IL,M,27,,27,4,BASEBALL,,,Lutheran
8/9/2019,5242,19/FA,0,Urbandale,IA,F,15,,15,2.89,,,,Roman Catholic
